Name,Rank,Location,Points
YUMSBPA,1420.0,Arizona,5559250
henryjunk,1421.0,Washington,5559170
remecuda,1422.0,Alberta,5559020
DeHavilland,1423.0,"Toronto, Ontario",5554495
Qwik442,1424.0,"San Antonio, Texas",5552785
Dorkchop,1425.0,Maryland,5550740
kyrunner,1426.0,"Lexington, Kentucky",5550145
Nozzel,1427.0,Ontario,5549725
TC2007,1428.0,"Miami, Florida",5549335
save$$$,1429.0,Colorado,5548090
wazoo,1430.0,"Twin Cities, Minnesota",5546820
wing-nut,1431.0,Oregon,5546770
PirateFan,1432.0,Virginia,5545905
tomfromnm,1433.0,New Mexico,5542085
wrp41,1434.0,"Chicago, Illinois",5540820
t-w,1435.0,"Denver, Colorado",5539120
KMAL,1436.0,Missouri,5538640
Phynque,1437.0,Wisconsin,5538185
gesgto,1438.0,"Milwaukee, Wisconsin",5538175
DealHunter,1439.0,"Los Angeles, California",5537245
Railratt,1440.0,"Kansas City, Missouri",5537175
HeavyDuty_cache,1441.0,"Omaha, Nebraska",5534165
Blubird,1442.0,"Tampa, Florida",5533590
XpertDrvr,1443.0,New Hampshire,5533385
grantel3707,1444.0,"Allentown, Pennsylvania",5531800
SHEP20715,1445.0,Maryland,5531690
mikeag88,1446.0,"Houston, Texas",5530545
daw49,1447.0,"Chicago, Illinois",5528865
Saturn1,1448.0,"Akron, Ohio",5528140
grandma5,1449.0,Illinois,5527945
redjeep06,1450.0,"Raleigh, North Carolina",5527265
John25,1451.0,Washington DC,5526335
YodaON,1452.0,"Ottawa, Ontario",5525970
baitmn,1453.0,"New Orleans, Louisiana",5525475
acrider54,1454.0,British Columbia,5525010
BigKidCar,1455.0,"Oakland, California",5524100
CAroadrunner101,1456.0,California,5522175
nimpy,1457.0,"Indianapolis, Indiana",5521625
regasaz,1458.0,"Phoenix, Arizona",5521139
ZZZoop,1459.0,Virginia,5520835
EC73,1460.0,"Worcester, Massachusetts",5520425
Gasfighter08,1461.0,"Lincoln, Nebraska",5519310
cbramsey5318,1462.0,"Spartanburg, South Carolina",5518930
UncleChuckles,1463.0,"Milwaukee, Wisconsin",5517625
tax-pro,1464.0,"Twin Cities, Minnesota",5517010
dwp49423,1465.0,Michigan,5516940
Rednix,1466.0,"Miami, Florida",5516085
jcrawford,1467.0,"Columbus, Ohio",5515940
kingdick,1468.0,Minnesota,5515865
yclookout,1469.0,"Sacramento, California",5513653
papajohn597,1470.0,"Dallas, Texas",5511830
DTrainCanada,1471.0,"Saskatoon, Saskatchewan",5511025
Sarb,1472.0,"Calgary, Alberta",5510420
litv101,1473.0,"Houston, Texas",5509970
Quick68,1474.0,"Columbus, Ohio",5509775
Signfool,1475.0,"Omaha, Nebraska",5508630
antur,1476.0,"Chicago, Illinois",5502320
poppopmam,1477.0,Maine,5502115
AlpineDude,1478.0,"San Diego, California",5500385
2Tall,1479.0,Maryland,5499740
jbnc,1480.0,North Carolina,5498730
yeehaw1073,1481.0,Indiana,5498680
FordF2502001,1482.0,Mississippi,5496265
NaplesFL,1483.0,"Naples, Florida",5493525
cutter1330,1484.0,Oklahoma,5492775
snewbfire,1485.0,Indiana,5492202
E500,1486.0,"Toronto, Ontario",5490365
steelblue,1487.0,Maryland,5488845
BillHeatherL,1488.0,Alberta,5488320
Mariuxus,1489.0,"Chicago, Illinois",5487140
Mikeoids,1490.0,"Columbus, Ohio",5486110
KayOhio,1491.0,Ohio,5484680
NFKen,1492.0,Ontario,5483590
CardsFan,1493.0,"St. Louis, Missouri",5483515
buffaloski,1494.0,Indiana,5483315
mke60,1495.0,"Kansas City, Missouri",5481540
regulargas,1496.0,"Atlanta, Georgia",5480775
Hunter114,1497.0,"Chicago, Illinois",5480610
must87searcher,1498.0,Maryland,5478675
bolobill,1499.0,Michigan,5477375
SLH,1500.0,Indiana,5476870
Chris46,1501.0,"Dayton, Ohio",5476740
TheBossFL,1502.0,Florida,5476205
HFAJR0034,1503.0,New Mexico,5473285
DustyRanch,1504.0,"Dallas, Texas",5472730
7933,1505.0,Georgia,5469975
77SU,1506.0,Alabama,5468515
Inspector44,1507.0,"Hartford, Connecticut",5468345
CoolNHDude,1508.0,New Hampshire,5468145
unicornpmb,1509.0,"Buffalo, New York",5467945
Bill G.,1510.0,"Hartford, Connecticut",5467590
tunafisher,1511.0,Michigan,5464865
Prodaddy,1512.0,"Houston, Texas",5463615
tntrupp,1513.0,"Kansas City, Missouri",5460470
brbaritone,1514.0,Virginia,5459875
enigma09,1515.0,"Dayton, Ohio",5459585
wrunner,1516.0,Virginia,5458675
gasandgoAL,1517.0,Alabama,5458620
Mizzourahh,1518.0,Missouri,5457730
northlight,1519.0,Saskatchewan,5456780
SquawBear,1520.0,"Fresno, California",5455575
